Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Macbook Air M1 Çip 8gb 256gb Ssd Macos 13"" Qhd Taşınabilir Bilgisayar Uzay Grisi",Apple,Ev - Okul,Gri,2 kg ve altı,Apple M1,Belirtilmemiş,1. Nesil,8,,8 GB,DDR2,Dahili Ekran Kartı,Dahili,Paylaşımlı,DDR2,256 GB,250 GB,"13,3 inç",2560 x 1600,Retina,120 Hz,,Mac Os,2025-12-03 01:49:24,"44.799,23 TL",https://www.trendyol.com/apple/macbook-air-m1-cip-8gb-256gb-ssd-macos-13-qhd-tasinabilir-bilgisayar-uzay-grisi-p-68042136?boutiqueId=61&merchantId=374206
"Ideapad Slim 3/ Intel N100/ 4gb Ram/ 128gb Ssd/ 15.6""/ W11/ Laptop 82xb009gtx",LENOVO,Ev - Okul,Gri; Siyah,2 - 4 kg,Intel Alder Lake N100,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,3.2,4 GB,Belirtilmemiş,Intel UHD Graphics,Dahili,Paylaşımlı,Belirtilmemiş,128 GB,Belirtilmemiş,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Belirtilmemiş,2025-12-03 01:49:25,8.799 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-n100-4gb-ram-128gb-ssd-15-6-w11-laptop-82xb009gtx-p-880830432?boutiqueId=61&merchantId=413566
"Nirvana Intel Celeron N4020 4GB RAM 120GB SSD Windows 11 Home 15.6"" Hd Laptop C370.4020-4C00B",CASPER,Ofis - İş,Gri,2 kg ve altı,Intel Celeron,N4020,Belirtilmemiş,2,2.8,4 GB,LPDDR4,Intel UHD Graphics 600,Dahili,Paylaşımlı,Belirtilmemiş,120 GB,HDD Yok,"15,6 inç",1366 x 768,HD Ready (HD),60 Hz,TN,Windows,2025-12-03 01:49:27,10.899 TL,https://www.trendyol.com/casper/nirvana-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-laptop-c370-4020-4c00b-p-358003688?boutiqueId=61&merchantId=114258
"IdeaPad Slim3 Intel Core i5-12450H 8GB 512GB SSD DOS 15.6"" FHD Arctic Grey Laptop 83ER000WTR",LENOVO,Ofis - İş,Gri,2 kg ve altı,Intel Core i5,12450H,12. Nesil,8,4.4,8 GB,LPDDR5,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1200,Full HD (FHD),60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:28,22.999 TL,https://www.trendyol.com/lenovo/ideapad-slim3-intel-core-i5-12450h-8gb-512gb-ssd-dos-15-6-fhd-arctic-grey-laptop-83er000wtr-p-772120068?boutiqueId=61&merchantId=1007811
"Excalibur i7-13620H 32GB 1TB SSD 6GB RTX4050 105W 165Hz 15.6"" Dos Gaming Laptop G870.1362-DFA0X-C",CASPER,Oyun,Siyah; Gri,2 - 4 kg,Intel Core i7,13620H,13. Nesil,10,4.9,32 GB,DDR4,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),165 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:29,47.999 TL,https://www.trendyol.com/casper/excalibur-i7-13620h-32gb-1tb-ssd-6gb-rtx4050-105w-165hz-15-6-dos-gaming-laptop-g870-1362-dfa0x-c-p-672157475?boutiqueId=681310&merchantId=968
V15 82YU0123TX RYZEN5-7520U 16GB 512SSD 15.6 FreeDos,LENOVO,Ofis - İş,Çok renkli; Siyah,2 - 4 kg,AMD Ryzen 5,7520U,5. Nesil,4,3.0,16 GB,Birleşik Bellek,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,512 GB,256 GB,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,,Windows,2025-12-03 01:49:30,19.989 TL,https://www.trendyol.com/lenovo/v15-82yu0123tx-ryzen5-7520u-16gb-512ssd-15-6-freedos-p-816046818?boutiqueId=61&merchantId=141868
"Ideapad1 Intel Celeron-N4120 4GB 128GB EMMC DOS 15.6"" Cloud Grey Laptop (Lenovo Türkiye Garantili)",LENOVO,Ev - Okul,Gri,2 kg ve altı,Intel Celeron,N4120,4. Nesil,4,,,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,HDD Yok,"15,6 inç",1366 x 768,HD Ready (HD),60 Hz,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:31,10.399 TL,https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4120-4gb-128gb-emmc-dos-15-6-cloud-grey-laptop-lenovo-turkiye-garantili-p-652489295?boutiqueId=61&merchantId=557390
"Swift 3 AMD Ryzen 5-5500U 8GB 512GB SSD FreeDos 14"" 1.2kg FHD Gümüş Dizüstü Bilgisayar NX.AB1EY.002",ACER,Ofis - İş,GRI; Gri,2 kg ve altı,AMD Ryzen 5,5500U,5. Nesil,6,4.0,8 GB,LPDDR4X,AMD Radeon R5,Dahili,Paylaşımlı,Dahili,512 GB,512 GB,14 inç,1920 x 1080,Full HD (FHD),60 Hz,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:32,19.990 TL,https://www.trendyol.com/acer/swift-3-amd-ryzen-5-5500u-8gb-512gb-ssd-freedos-14-1-2kg-fhd-gumus-dizustu-bilgisayar-nx-ab1ey-002-p-300442845?boutiqueId=61&merchantId=1064603
"Macbook Air 13.6"" M2 8gb 256gb Ssd Gece Yarısı",Apple,Ofis - İş,Mavi,2 kg ve altı,Apple M2,Belirtilmemiş,2. Nesil,8,,,Birleşik Bellek,M2 8 Çekirdekli,Dahili,8 GB,Dahili,,HDD Yok,"13,6 inç",2560 x 1600,Ultra HD 4K (UHD),120 Hz,,Mac Os,2025-12-03 01:49:33,40.000 TL,https://www.trendyol.com/apple/macbook-air-13-6-m2-8gb-256gb-ssd-gece-yarisi-p-336318153?boutiqueId=61&merchantId=621599
"IdeaPad Slim 3 Intel Celeron N100 4GB 128GB Intel UHD Graphics 15.6"" FHD W11 Notebook",LENOVO,Ofis - İş,Gri,2 kg ve altı,Intel Celeron,Alder Lake-N N100,Belirtilmemiş,4,2.6,4 GB,DDR4,Intel UHD Graphics 600,Dahili,Paylaşımlı,Belirtilmemiş,128 GB,Belirtilmemiş,"15,6 inç",1366 x 768,Full HD (FHD),Belirtilmemiş,TN,Windows,2025-12-03 01:49:34,10.099 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-celeron-n100-4gb-128gb-intel-uhd-graphics-15-6-fhd-w11-notebook-p-382953334?boutiqueId=61&merchantId=1195103
Excalibur G870.1362-DXB0X-B i7-13620H 32GB RAM 2TB NVMe SSD 8GB RTX4060 Freedos Gaming Laptop,CASPER,Oyun,Siyah; Gri,2 - 4 kg,Intel Core i7,13620H,13. Nesil,10,4.9,32 GB,DDR4,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,2 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),165 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:35,58.999 TL,https://www.trendyol.com/casper/excalibur-g870-1362-dxb0x-b-i7-13620h-32gb-ram-2tb-nvme-ssd-8gb-rtx4060-freedos-gaming-laptop-p-672155829?boutiqueId=61&merchantId=141868
"15-FC0060NT AMD Ryzen 5-7520U 16GB 512GB DOS 15.6"" FHD Siyah Laptop ( Türkiye Garantili) 8M1T2EA.",HP,Ofis - İş,Gri; Siyah,2 kg ve altı,AMD Ryzen 5,7520U,7. Nesil,4,4.3,16 GB,LPDDR5,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:37,24.999 TL,https://www.trendyol.com/hp/15-fc0060nt-amd-ryzen-5-7520u-16gb-512gb-dos-15-6-fhd-siyah-laptop-hp-turkiye-garantili-8m1t2ea-p-761481836?boutiqueId=61&merchantId=106664
Ideapad Intel Celeron N4020 4GB 128GB SSD Freedos 14'',LENOVO,Ev - Okul,Gümüş,2 kg ve altı,Intel Celeron,N4020,Belirtilmemiş,2,2.3,4 GB,DDR4,Intel UHD Graphics 600,Dahili,Paylaşımlı,DDR4,128 GB,HDD Yok,14 inç,1366 x 768,HD Ready (HD),Belirtilmemiş,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:38,"25.076,87 TL",https://www.trendyol.com/lenovo/ideapad-intel-celeron-n4020-4gb-128gb-ssd-freedos-14-p-367015572?boutiqueId=61&merchantId=222210
"IdeaPad 3 AMD Ryzen 7 5825U 16GB 512GB SSD 15.6"" FHD Freedos Laptop",LENOVO,Ev - Okul,Gri,2 kg ve altı,AMD Ryzen 7,5825U,5. Nesil,8,4.3,16 GB,DDR4,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:39,"25.569,99 TL",https://www.trendyol.com/lenovo/ideapad-3-amd-ryzen-7-5825u-16gb-512gb-ssd-15-6-fhd-freedos-laptop-p-752653765?boutiqueId=61&merchantId=153128
"IdeaPad Intel Celeron 4GB 128GB SSD Windows 11 15.6"" Cloud Grey Dizüstü Bilgisayar",LENOVO,Ev - Okul,Gri,2 - 4 kg,Intel Celeron,N4020,4. Nesil,2,2.5,4 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,128 GB,HDD Yok,"15,6 inç",1366 x 768,HD Ready (HD),60 Hz,TN,Windows,2025-12-03 01:49:40,11.349 TL,https://www.trendyol.com/lenovo/ideapad-intel-celeron-4gb-128gb-ssd-windows-11-15-6-cloud-grey-dizustu-bilgisayar-p-811944598?boutiqueId=61&merchantId=557390
"Excalibur G770 i7-12700H 32GB 1TB 4GB RTX3050 95W 15.6"" Freedos Gaming Laptop G770.1270-DFJ0X-B",CASPER,Oyun,Siyah,2 - 4 kg,Intel Core i7,12700H,12. Nesil,14,4.7,32 GB,DDR4,Nvidia GeForce RTX 3050,Harici,4 GB ve altı,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:41,43.900 TL,https://www.trendyol.com/casper/excalibur-g770-i7-12700h-32gb-1tb-4gb-rtx3050-95w-15-6-freedos-gaming-laptop-g770-1270-dfj0x-b-p-311975792?boutiqueId=61&merchantId=141868
"Ideapad1 Intel Celeron-N4020 4GB 128GB DOS 15.6"" Gri Laptop 82V700A8TX",LENOVO,Ofis - İş,Gri,2 - 4 kg,Intel Celeron,N4020,Belirtilmemiş,2,2.8,4 GB,DDR4,Intel UHD Graphics 600,Dahili,Paylaşımlı,Belirtilmemiş,128 GB,HDD Yok,"15,6 inç",1366 x 768,HD Ready (HD),Belirtilmemiş,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:42,10.399 TL,https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4020-4gb-128gb-dos-15-6-gri-laptop-82v700a8tx-p-773962718?boutiqueId=61&merchantId=557390
"Ideapad Slim 3 15Ian8 Intel N100 4GB RAM 128Gb SSD Intel UHD Graphics 15.6"" FHD W11 Gri Noteb",LENOVO,Ofis - İş,Gri,2 kg ve altı,Intel Celeron,Alder Lake-N N100,Belirtilmemiş,4,3.4,4 GB,LPDDR5,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,128 GB,128 GB,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Windows,2025-12-03 01:49:44,9.380 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-15ian8-intel-n100-4gb-ram-128gb-ssd-intel-uhd-graphics-15-6-fhd-w11-gri-noteb-p-880174765?boutiqueId=61&merchantId=1126939
"Ideapad 3 İntel Core i3-1215U 16GB 512GB SSD W11P 15.6"" Full Hd CSR22 ÇANTA Hediyeli",LENOVO,Ofis - İş,Metalik Gri; Metalik,2 kg ve altı,Intel Core i3,1215U,12. Nesil,4,4.4,16 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Windows,2025-12-03 01:49:45,20.949 TL,https://www.trendyol.com/lenovo/ideapad-3-intel-core-i3-1215u-16gb-512gb-ssd-w11p-15-6-full-hd-csr22-canta-hediyeli-p-781482518?boutiqueId=61&merchantId=1080756
"Ideapad 1 15alc7 Amd Ryzen 5 5625U 16gb 512gb Ssd 15.6"" Win11 Taşınabilir Bilgisayar",LENOVO,Ofis - İş,Gri,2 kg ve altı,AMD Ryzen 5,5500U,Belirtilmemiş,6,4.0,16 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Windows,2025-12-03 01:49:48,22.399 TL,https://www.trendyol.com/lenovo/ideapad-1-15alc7-amd-ryzen-5-5625u-16gb-512gb-ssd-15-6-win11-tasinabilir-bilgisayar-p-817478034?boutiqueId=61&merchantId=557390
"13"" MacBook Air:  M2 chip with 8-core CPU and 8-core GPU, 16GB, 256GB - Gece Yarısı",Apple,Ofis - İş,Gece Yarısı; Gri,2 kg ve altı,Apple M2,Belirtilmemiş,2. Nesil,8,2.5,16 GB,Birleşik Bellek,M2 8 Çekirdekli,Dahili,8 GB,Dahili,256 GB,HDD Yok,"13,6 inç",2560 x 1600,Ultra HD 4K (UHD),120 Hz,IPS,Mac Os,2025-12-03 01:49:49,37.399 TL,https://www.trendyol.com/apple/13-macbook-air-apple-m2-chip-with-8-core-cpu-and-8-core-gpu-16gb-256gb-gece-yarisi-p-871069136?boutiqueId=61&merchantId=787811
"13"" MacBook Air:  M2 chip with 8-core CPU and 8-core GPU, 16GB, 256GB - Yıldız Işığı",Apple,Ofis - İş,Yıldız Işığı; Gri,2 kg ve altı,Apple M2,Belirtilmemiş,2. Nesil,8,,16 GB,Birleşik Bellek,M2 8 Çekirdekli,Dahili,8 GB,Dahili,256 GB,HDD Yok,"13,6 inç",2560 x 1600,Ultra HD 4K (UHD),120 Hz,,Mac Os,2025-12-03 01:49:50,37.499 TL,https://www.trendyol.com/apple/13-macbook-air-apple-m2-chip-with-8-core-cpu-and-8-core-gpu-16gb-256gb-yildiz-isigi-p-871069139?boutiqueId=61&merchantId=113750
"Macbook Air 13.6"" M2 8c Gpu 8 Gb 256 Gb Ssd Yıldız Işığı",Apple,Ofis - İş,Sarı,2 kg ve altı,Apple M2,Belirtilmemiş,2. Nesil,8,,,Birleşik Bellek,M2 8 Çekirdekli,Dahili,8 GB,Dahili,,HDD Yok,"13,6 inç",2560 x 1600,Ultra HD 4K (UHD),120 Hz,,Mac Os,2025-12-03 01:49:51,41.350 TL,https://www.trendyol.com/apple/macbook-air-13-6-m2-8c-gpu-8-gb-256-gb-ssd-yildiz-isigi-p-334546082?boutiqueId=61&merchantId=621599
"IdeaPad 1 Intel Celeron N4020 4GB 128GB SSD Windows 11 Home 15.6"" Taşınabilir Bilgisayar 82V700A9TX",LENOVO,Ev - Okul,Gri,2 kg ve altı,Intel Celeron,N4020,Belirtilmemiş,2,2.8,4 GB,Birleşik Bellek,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,128 GB,HDD Yok,"15,6 inç",1366 x 768,HD Ready (HD),Belirtilmemiş,TN,Windows,2025-12-03 01:49:52,10.299 TL,https://www.trendyol.com/lenovo/ideapad-1-intel-celeron-n4020-4gb-128gb-ssd-windows-11-home-15-6-tasinabilir-bilgisayar-82v700a9tx-p-759819201?boutiqueId=61&merchantId=557390
"IdeaPad Slim 3 Intel Celeron N100 4GB 128GB Intel UHD Graphics 15.6"" FHD W11 Notebook 82XB009GTX",LENOVO,Ofis - İş,Gri,2 kg ve altı,Intel Celeron,Alder Lake-N N100,Belirtilmemiş,4,3.4,4 GB,LPDDR5,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,SSD Yok,128 GB,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Windows,2025-12-03 01:49:54,8.381 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-celeron-n100-4gb-128gb-intel-uhd-graphics-15-6-fhd-w11-notebook-82xb009gtx-p-941342405?boutiqueId=61&merchantId=1095219
"Vivobook 15 Intel Core i5 1235U 16GB 1TB SSD W11P 15.6"" FHD Bilgisayar Csrtech",ASUS,Ofis - İş,LACİVERT; Lacivert,2 kg ve altı,Intel Core i5,1235U,12. Nesil,10,4.4,16 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Windows,2025-12-03 01:49:55,29.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1235u-16gb-1tb-ssd-w11p-15-6-fhd-bilgisayar-csrtech-p-795953654?boutiqueId=61&merchantId=880551
"LOQ Intel Core i5-12600HX 24G 512GB SSD RTX4050 15.6"" FHD 144Hz 105W FreeDOS Gaming PC 83GS00P6TR",LENOVO,Oyun,Gri,2 - 4 kg,Intel Core i5,12600HX,12. Nesil,12+,4.6,24 GB,DDR5,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:56,38.479 TL,https://www.trendyol.com/lenovo/loq-intel-core-i5-12600hx-24g-512gb-ssd-rtx4050-15-6-fhd-144hz-105w-freedos-gaming-pc-83gs00p6tr-p-892391469?boutiqueId=61&merchantId=1080831
"Alfa 620c Intel Celeron N4020 4 Gb 128 Gb Ssd Windows 11 14.1"" Tn Taşınabilir Bilgisayar",Hometech,Ev - Okul,GÜMÜŞ; Gümüş,Belirtilmemiş,Intel Celeron,N4020,4. Nesil,2,2.8,4 GB,Belirtilmemiş,Intel UHD Graphics 600,Dahili,Paylaşımlı,Belirtilmemiş,128 GB,HDD Yok,"14,1 inç",1366 x 768,HD Ready (HD),Belirtilmemiş,TN,Windows,2025-12-03 01:49:57,6.499 TL,https://www.trendyol.com/hometech/alfa-620c-intel-celeron-n4020-4-gb-128-gb-ssd-windows-11-14-1-tn-tasinabilir-bilgisayar-p-658259965?boutiqueId=61&merchantId=746625
"AMD Ryzen 5 5625U 16GB 512GB M.2 SSD W11pro 15.6"" Notebook+Çanta",LENOVO,Ev - Okul,gri; Siyah,2 kg ve altı,AMD Ryzen 5,5625U,Belirtilmemiş,6,3.1,16 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Windows,2025-12-03 01:49:58,20.999 TL,https://www.trendyol.com/lenovo/amd-ryzen-5-5625u-16gb-512gb-m-2-ssd-w11pro-15-6-notebook-canta-p-838221473?boutiqueId=61&merchantId=441895
"14-EP0014NT Intel Core i3-N305 8GB 512GB SSD DOS 14"" FHD  Gece Mavisi Laptop ( Türkiye Garantili)",HP,Ev - Okul,Gece Mavisi; Lacivert,2 kg ve altı,Intel Core i3,N305,13. Nesil,8,3.8,8 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,14 inç,1920 x 1080,Full HD (FHD),60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:49:59,17.999 TL,https://www.trendyol.com/hp/14-ep0014nt-intel-core-i3-n305-8gb-512gb-ssd-dos-14-fhd-gece-mavisi-laptop-hp-turkiye-garantili-p-712241023?boutiqueId=61&merchantId=141868
Ideapad Slim 3 12.Nesil Core i5 12450H-8Gb-512Gb Ssd-W11,LENOVO,Ofis - İş,Gri,2 kg ve altı,Intel Core i5,Belirtilmemiş,12. Nesil,8,4.4,8 GB,DDR5,Intel UHD Graphics,Dahili,Paylaşımlı,Belirtilmemiş,512 GB,512 GB,16 inç,1920 x 1080,HD Ready (HD),Belirtilmemiş,TN,Windows,2025-12-03 01:50:01,23.399 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-12-nesil-core-i5-12450h-8gb-512gb-ssd-w11-p-779234648?boutiqueId=61&merchantId=1007811
"13"" MacBook Air:  M4 chip with 10-core CPU and 8-core GPU, 16GB, 256GB SSD - Gümüş",Apple,Ofis - İş,Gümüş; Gri,2 kg ve altı,Apple M4,Apple M4,4. Nesil,10,,16 GB,Birleşik Bellek,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,256 GB,HDD Yok,"13,6 inç",2560 x 1664,Ultra HD 4K (UHD),60 Hz,,Mac Os,2025-12-03 01:50:02,"45.303,53 TL",https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-8-core-gpu-16gb-256gb-ssd-gumus-p-904728347?boutiqueId=681310&merchantId=968
"Loq Intel Core I5-12450hx 16gb 512gb Ssd Rtx™ 3050 6gb 15,6"" Gaming Laptop 83gs008gtr",LENOVO,Oyun,Ay Grisi; Gri,2 - 4 kg,Intel Core i5,12450HX,12. Nesil,8,4.4,16 GB,DDR5,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,Full HD,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:03,"35.998,88 TL",https://www.trendyol.com/lenovo/loq-intel-core-i5-12450hx-16gb-512gb-ssd-rtx-3050-6gb-15-6-gaming-laptop-83gs008gtr-p-854905322?boutiqueId=61&merchantId=204934
Inspiron 15 3520 I5-1235U 32 GB  1 TBSSD  15.6 Inç Fhd 120Hz Windows 11 Pro I352024052009UAR114,Dell,Ofis - İş,Gri,2 kg ve altı,Intel Core i5,1235U,12. Nesil,10,,32 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,IPS,Windows,2025-12-03 01:50:04,34.999 TL,https://www.trendyol.com/dell/inspiron-15-3520-i5-1235u-32-gb-1-tbssd-15-6-inc-fhd-120hz-windows-11-pro-i352024052009uar114-p-817772696?boutiqueId=61&merchantId=153128
"Abra A7 V15.3.4 Intel Core i5 13500H 16 GB RAM 1 TB SSD 6 GB RTX 3050 FreeDOS 17,3"" FHD 144 Hz",MONSTER,Oyun,Siyah,2 - 4 kg,Intel Core i5,13500H,13. Nesil,12+,4.7,16 GB,DDR4,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"17,3 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:06,42.299 TL,https://www.trendyol.com/monster/abra-a7-v15-3-4-intel-core-i5-13500h-16-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-17-3-fhd-144-hz-p-894064414?boutiqueId=61&merchantId=105286
"15.6"" CYBORG 15 A13VE-897XTR CORE i7 13620H-16GB DDR5 RAM-6GB RTX4050-1TB NVME-FDOS",MSI,Ofis - İş,Siyah,2 - 4 kg,Intel Core i7,13620H,13. Nesil,10,2.1,16 GB,DDR5,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,Full HD,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:08,45.499 TL,https://www.trendyol.com/msi/15-6-cyborg-15-a13ve-897xtr-core-i7-13620h-16gb-ddr5-ram-6gb-rtx4050-1tb-nvme-fdos-p-804410204?boutiqueId=61&merchantId=105013
"Vivobook 15 Intel® Core™ I5-13420H 24gb Ram 1tb Ssd W11 Pro 15,6"" Fhd",ASUS,Ev - Okul,GRİ; Gri,2 - 4 kg,Intel Core i5,1235U,12. Nesil,10,4.4,24 GB,DDR4,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Windows,2025-12-03 01:50:09,31.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-13420h-24gb-ram-1tb-ssd-w11-pro-15-6-fhd-p-856346804?boutiqueId=61&merchantId=996557
"Inspiron 3520 Intel Core i5 1235U 16 gb 512 GBSSD Windows 11 Home 15.6"" FHD 120Hz 3520AR17",Dell,Ofis - İş,siyah; Siyah,2 - 4 kg,Intel Core i5,1235U,12. Nesil,8,4.2,16 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,LED,Windows,2025-12-03 01:50:10,27.799 TL,https://www.trendyol.com/dell/inspiron-3520-intel-core-i5-1235u-16-gb-512-gbssd-windows-11-home-15-6-fhd-120hz-3520ar17-p-791970559?boutiqueId=61&merchantId=153128
"IdeaPad 3 Intel Core i3-1215U 4GB 256GB SSD DOS 15.6"" Arctic Grey Laptop 82RK00XBTX",LENOVO,Ev - Okul,Gri,2 kg ve altı,Intel Core i3,1215U,12. Nesil,6,,4 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,256 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:11,19.699 TL,https://www.trendyol.com/lenovo/ideapad-3-intel-core-i3-1215u-4gb-256gb-ssd-dos-15-6-arctic-grey-laptop-82rk00xbtx-p-772120070?boutiqueId=61&merchantId=921289
"Vivobook 15 Intel Core i5-1235U 8GB 512GB SSD DOS 15.6"" FHD Gümüş Dizüstü Bilgisayar F1502ZA-EJ1534",ASUS,Ev - Okul,Gümüş,2 - 4 kg,Intel Core i3,1215U,Belirtilmemiş,6,,,DDR4,Dahili Ekran Kartı,Harici,Paylaşımlı,Dahili,,256 GB,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:13,24.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1235u-8gb-512gb-ssd-dos-15-6-fhd-gumus-dizustu-bilgisayar-f1502za-ej1534-p-780222579?boutiqueId=61&merchantId=868180
Vivobook 15 Intel® Core™ I5-13420H 16gb Ram 512gb Ssd W11,ASUS,Ev - Okul,GRİ; Gri,2 - 4 kg,Intel Core i5,13420H,13. Nesil,10,4.4,16 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Windows,2025-12-03 01:50:14,25.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-13420h-16gb-ram-512gb-ssd-w11-p-856346347?boutiqueId=61&merchantId=880551
