Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Cyborg 15 A13VE-1252XTR009 i5-13420H 16GB 1TBSSD RTX4050 15.6"" FHD W11P Dizüstü Bilgisayar",MSI,Oyun,Siyah,2 kg ve altı,Intel Core i5,13420H,13. Nesil,8,4.6,16 GB,DDR5,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Windows,2025-12-03 02:08:48,46.899 TL,https://www.trendyol.com/msi/cyborg-15-a13ve-1252xtr009-i5-13420h-16gb-1tbssd-rtx4050-15-6-fhd-w11p-dizustu-bilgisayar-p-1047751135?boutiqueId=61&merchantId=334898
"Vivobook Go 15 Ryzen5-7520U 8GB 512GB Nvme SSD E1504FA-BQ1741 Atl17 15.6"" Win11Pro Notebook",ASUS,Ofis - İş,Silver,2 kg ve altı,AMD Ryzen 5,7520U,7. Nesil,4,2.0,8 GB,LPDDR5,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Windows,2025-12-03 02:08:49,"21.550,74 TL",https://www.trendyol.com/asus/vivobook-go-15-ryzen5-7520u-8gb-512gb-nvme-ssd-e1504fa-bq1741-atl17-15-6-win11pro-notebook-p-1024943712?boutiqueId=61&merchantId=109354
"255 G10 3Z6G3ES006 Ryzen7 7730U 16GB 1TBSSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT007",HP,Ofis - İş,Gri,2 kg ve altı,AMD Ryzen 7,7730U,7. Nesil,8,4.5,16 GB,DDR4,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Windows,2025-12-03 02:08:50,26.999 TL,https://www.trendyol.com/hp/255-g10-3z6g3es006-ryzen7-7730u-16gb-1tbssd-15-6-fhd-w11p-dizustu-bilgisayar-cnt007-p-938661701?boutiqueId=61&merchantId=514546
"Vivobook 15 X1504VA-NJ2509W/Intel® Core™ i3-1315U/8 GB RAM/512 GB SSD/15.6""/W11 Laptop",ASUS,Ev - Okul,Mavi,2 kg ve altı,Intel Core i3,1315U,Belirtilmemiş,6,4.5,8 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Belirtilmemiş,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Windows,2025-12-03 02:08:51,24.999 TL,https://www.trendyol.com/asus/vivobook-15-x1504va-nj2509w-intel-core-i3-1315u-8-gb-ram-512-gb-ssd-15-6-w11-laptop-p-990878713?boutiqueId=61&merchantId=107870
"Abra A7 V16.2.5/Intel Core i7 13700HX/32GB RAM/1 TB SSD/RTX5050/17.3"" FHD/W11 Laptop",MONSTER,Oyun,Siyah,2 - 4 kg,Intel Core i7,13700HX,Belirtilmemiş,24,4.5,32 GB,DDR5,Nvidia GeForce RTX 5050,Harici,8 GB,GDDR7,1 TB,HDD Yok,"17,3 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,IPS,Windows,2025-12-03 02:08:52,63.600 TL,https://www.trendyol.com/monster/abra-a7-v16-2-5-intel-core-i7-13700hx-32gb-ram-1-tb-ssd-rtx5050-17-3-fhd-w11-laptop-p-1019664796?boutiqueId=61&merchantId=275331
OMEN 16-an0000nt Core Ultra 9-285H 32GB DDR5 1TB SSD RTX5060 8GB GDDR7 16 inç 3ms IPS FDos Laptop,HP,Oyun,Siyah,Belirtilmemiş,Intel Core Ultra 9,285H,Series 2,16,+5,32 GB,DDR5,Nvidia GeForce RTX 5060,Harici,8 GB,GDDR7,1 TB,HDD Yok,16 inç,1920 x 1200,QHD,165 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:08:53,75.629 TL,https://www.trendyol.com/hp/omen-16-an0000nt-core-ultra-9-285h-32gb-ddr5-1tb-ssd-rtx5060-8gb-gddr7-16-inc-3ms-ips-fdos-laptop-p-978115505?boutiqueId=61&merchantId=105369
Katana 17 HX i7-14650HX 32GB 1TB SSD RTX5070/8GB 17.3'' 2K QHD 240Hz FDOS Gaming Laptop B14WGK,MSI,Oyun,,2 - 4 kg,Intel Core i7,14650HX,14. Nesil,24,+5,32 GB,DDR5,Nvidia GeForce RTX 5070,Harici,8 GB,GDDR7,1 TB,HDD Yok,"17,3 inç",2560 x 1440,QHD,240 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:08:54,99.999 TL,https://www.trendyol.com/msi/katana-17-hx-i7-14650hx-32gb-1tb-ssd-rtx5070-8gb-17-3-2k-qhd-240hz-fdos-gaming-laptop-b14wgk-p-942560100?boutiqueId=61&merchantId=1007811
"V15 82YY001MTR10 Ryzen7 7730U 16GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT011",LENOVO,Ofis - İş,Siyah,2 kg ve altı,AMD Ryzen 7,7730U,7. Nesil,8,4.5,16 GB,DDR4,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Windows,2025-12-03 02:08:56,26.699 TL,https://www.trendyol.com/lenovo/v15-82yy001mtr10-ryzen7-7730u-16gb-512ssd-15-6-fhd-w11p-dizustu-bilgisayar-cnt011-p-873304115?boutiqueId=61&merchantId=153128
Vostro Intel Core I7 1355u 16gb 512gb Ssd Ubuntu 15.6 Fhd 120hz N1601pvnb3530u,Dell,Oyun,siyah; Siyah,2 kg ve altı,Intel Core i7,1355U,13. Nesil,8,,16 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,LED,Free Dos (İşletim Sistemi Yok),2025-12-03 02:08:57,29.889 TL,https://www.trendyol.com/dell/vostro-intel-core-i7-1355u-16gb-512gb-ssd-ubuntu-15-6-fhd-120hz-n1601pvnb3530u-p-808662366?boutiqueId=61&merchantId=105378
Excalibur 13.Nesil Core i7 13620H-RTX5060 8Gb-32Gb-1Tb Ssd-16inc-W11,CASPER,Oyun,Siyah,2 - 4 kg,Intel Core i7,13620H,13. Nesil,10,4.9,32 GB,DDR5,Nvidia GeForce RTX 5060,Harici,8 GB,GDDR7,1 TB,1 TB,16 inç,1920 x 1200,Full HD (FHD),165 Hz,IPS,Windows,2025-12-03 02:08:58,69.999 TL,https://www.trendyol.com/casper/excalibur-13-nesil-core-i7-13620h-rtx5060-8gb-32gb-1tb-ssd-16inc-w11-p-1038218453?boutiqueId=61&merchantId=107870
