title,brand,intended_use,color,weight,cpu_family,cpu_model,cpu_generation,cpu_cores,cpu_max_ghz,ram_gb,ram_type,gpu_model,gpu_type,gpu_vram_gb,gpu_vram_type,ssd_gb,hdd_gb,screen_size_inch,resolution,display_standard,refresh_rate_hz,panel_type,operating_system,scraped_at,price_try,url,platform,source_file
"msi cyborg 15 a13ve-1252xtr intel core i5 13420h 16gb 512gb ssd rtx4050 freedos 15.6"" fhd taşınabilir bilgisayar",msi,oyun,siyah,1 - 2 kg,intel core i5,intel core i5,13.0,,4.6,16.0,ddr5,nvidia rtx 4050,dedicated_high_end,6.0,gddr6,512.0,,15.6,1920x1080,fhd,144.0,tn,freedos,2025-12-03 00:31:52,36299.0,https://www.hepsiburada.com/msi-cyborg-15-a13ve-1252xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-hbc00006iuw8w,hepsiburada,hb_details_202512030147.csv
"lenovo ideapad slim 3 intel celeron n100 4gb 128gb windows 11 home 15.6"" fhd taşınabilir bilgisayar 82xb009gtx",lenovo,,gri,2 kg ve altı,intel celeron,n100,,,3.4,4.0,lpddr5,integrated,integrated,,shared,,128.0,15.6,1920x1080,fhd,,tn,windows home,2025-12-03 00:31:54,8899.0,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-celeron-n100-4gb-128gb-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-82xb009gtx-pm-hbc00008o183i,hepsiburada,hb_details_202512030147.csv
"erazer deputy 15 p1 md62764 intel core 5 210h 16gb 1tb ssd rtx5060 freedos 15.6"" 144hz fhd ips taşınabilir bilgisayar",erazer,oyun,siyah,2 - 4 kg,intel core i5,210h,2.0,8.0,4.8,16.0,ddr5,nvidia rtx 5060,dedicated_high_end,8.0,gddr7,1024.0,,15.6,1920x1080,fhd,144.0,ips,freedos,2025-12-03 00:31:58,47999.0,https://www.hepsiburada.com/erazer-deputy-15-p1-md62764-intel-core-5-210h-16gb-ram-1tb-ssd-rtx5060-15-6-144hz-fhd-ips-freedos-tasinabilir-bilgisayar-pm-hbc00009fhj5z,hepsiburada,hb_details_202512030147.csv
"lenovo ideapad slim 3 intel core i5 13420h 16gb 512gb ssd 15.3"" wuxga ips freedos taşınabilir bilgisayar 83k1003mtr",lenovo,ofis-is,gri,2 kg ve altı,intel core i5,intel core i5,13.0,8.0,4.6,16.0,ddr5,integrated,integrated,0.0,shared,512.0,,15.3,1920x1200,wuxga,60.0,ips,freedos,2025-12-03 00:32:00,21999.0,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-16gb-512gb-ssd-freedos-15-3-wuxga-tasinabilir-bilgisayar-83k1003mtr-pm-hbc00008o31ra,hepsiburada,hb_details_202512030147.csv
"msi thin 15 b13uc-3074xtr intel core i5 13420h 16gb 512gb ssd rtx3050 freedos 15.6"" fhd 144hz taşınabilir bilgisayar",msi,oyun,gri,2 kg ve altı,intel core i5,intel core i5,13.0,,4.6,16.0,ddr4,nvidia rtx 3050,dedicated,4.0,gddr6,512.0,,15.6,1920x1080,fhd,144.0,,freedos,2025-12-03 00:32:02,29998.99,https://www.hepsiburada.com/msi-thin-15-b13uc-3074xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-hbc00008qm2jk,hepsiburada,hb_details_202512030147.csv
"lenovo ideapad slim 3 amd ryzen 7 5825u 8gb 512gb ssd freedos 15.6"" fhd taşınabilir bilgisayar 82xm00u8tx",lenovo,ofis-is,gri,2 kg ve altı,amd ryzen 7,ryzen 7,,8.0,4.5,8.0,ddr4,integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,,tn,freedos,2025-12-03 00:32:08,17991.97,https://www.hepsiburada.com/lenovo-ideapad-slim-3-amd-ryzen-7-5825u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82xm00u8tx-pm-hbc00009pognp,hepsiburada,hb_details_202512030147.csv
"game garaj slayer x7t-5060 c2 intel core i7 14650hx 32gb ram 1tb ssd rtx5060 16"" qhd+ 180hz ips freedos oyuncu laptop",game garaj,oyun,gri,2 - 4 kg,intel core i7,14650hx,14.0,16.0,5.2,32.0,ddr5,nvidia rtx 5060,dedicated_high_end,8.0,gddr7,1024.0,,16.0,2560x1600,qhd_plus,180.0,ips,freedos,2025-12-03 00:32:14,59999.0,https://www.hepsiburada.com/game-garaj-slayer-x7t-5060-c2-intel-core-i7-14650hx-32gb-ram-1tb-ssd-rtx5060-16-qhd-180hz-ips-freedos-oyuncu-laptop-p-hbcv00009meibk,hepsiburada,hb_details_202512030147.csv
"huawei matebook d14 2024 intel core i5 12450h 16gb 512gb ssd windows 11 home 14"" taşınabilir bilgisayar",huawei,ofis-is,gri,1 - 2 kg,intel core i5,12450h,12.0,,,16.0,,intel integrated,integrated,0.0,shared,512.0,,14.0,1920x1200,,,ips,windows home,2025-12-03 00:32:16,24499.0,https://www.hepsiburada.com/huawei-matebook-d14-2024-intel-core-i5-12450h-16gb-512gb-ssd-windows-11-home-14-tasinabilir-bilgisayar-pm-hbc000065ln09,hepsiburada,hb_details_202512030147.csv
"hp 15 fc0059nt amd ryzen 7 7730u 16gb 512gb ssd freedos 15.6"" fhd taşınabilir bilgisayar 8m1t1ea",hp,,siyah,1 - 2 kg,amd ryzen 7,amd ryzen 7,,,4.5,16.0,ddr4,integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,,ips,freedos,2025-12-03 00:32:20,19999.0,https://www.hepsiburada.com/hp-15-fc0059nt-amd-ryzen-7-7730u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-8m1t1ea-pm-hbc000050xw3w,hepsiburada,hb_details_202512030147.csv
"lenovo ideapad slim 3 intel core i3 1315u 8gb 512gb ssd freedos 15.6"" fhd taşınabilir bilgisayar 82x700g0tx",lenovo,ofis-is,gri,2 kg ve altı,intel core i3,1315u,13.0,6.0,4.5,8.0,lpddr5,integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,,tn,freedos,2025-12-03 00:32:26,17022.9,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i3-1315u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82x700g0tx-pm-hbc00009pyls9,hepsiburada,hb_details_202512030147.csv
"lenovo ideapad slim 3 intel core i5 13420h 8gb 512gb ssd freedos 15.6"" fhd taşınabilir bilgisayar 83em00c7tr",lenovo,ofis-is,gri,2 kg ve altı,intel core i5,13420h,13.0,8.0,4.6,8.0,lpddr5,integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,,ips,freedos,2025-12-03 00:32:29,19999.0,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-83em00c7tr-pm-hbc00009ppgdy,hepsiburada,hb_details_202512030147.csv
"hp victus gaming 15-fa2012nt intel core i7 13620h 16gb 1tb ssd rtx5060 freedos 15.6"" taşınabilir bilgisayar c21sfea",hp,,siyah,2 - 4 kg,intel core i7,13620h,13.0,,4.9,16.0,ddr5,nvidia rtx 5060,dedicated_high_end,8.0,gddr7,1024.0,,15.6,1920x1080,,,led,freedos,2025-12-03 00:32:34,52999.0,https://adservice.hepsiburada.com/event/api/v1/track?event=t3nvd3d2dwfjzvk2szvungnjzm9oalflz2t0shbrawzuc1juwxhjujmwamrnc2tuovb0evduylv5t1bwdwzkl0xqdtd3kzi3zhjwvkxxb29wywpgr0fpvlfoaehzvlbeexjts2swnzben0jqmstmwfb3swthugzkrfj3amdxwwhztkh0utjlnmxid2w2m0h6ymezrelhb29ycwd3mnbaqzzewugxmu55nez3bctibu00u0ltskrxnw5ummrqn1a3alvrnk9rugk2ce1md1npdxnyc1q5neu3cwlkmvvhmgfxuexvt3paauxia2tire83cffkugrwq1jmnvjomujuohrvufzhdstozk5otxrod3vpodlloepxstc3be9oc0dsmi9hdtfkqjk5lzkvuth5mlh0dgtfdug4d1loz0vyqkfurfhquuhinfq3z1zrtdjqvtrsddm1nzhjtzzwvjhnnk9lwxfzzmxcdc9rsnpxem1ltkvzcy84cdr0oejllznrwen1amm5vvvnbmkvze5xrcs3ru5xrfphcmg4cvvrwdbnk3lwogjwa2nqu2nfwwu3rlu0yytxztyxu0r1n3zrqmhqsxo3sc9yedvknvdmutjqn1p3yxe3allmnzznsdlovitta0xvl1lvvmnkww9qv1l1tdzmwetpotv1meh4buntctqxyudbytfhczlyzmyxeuxsefrhnuhctwltdvvca21inzfmq1k1&redirect=https%3a%2f%2fwww.hepsiburada.com%2fhp-victus-gaming-15-fa2012nt-intel-core-i7-13620h-16gb-1tb-ssd-rtx5060-freedos-15-6-tasinabilir-bilgisayar-c21sfea-p-hbcv0000ad47pv%3fmagaza%3dhepsiburada&eventname=sp-click&platform=desktop&anonymousid=ba22e137-10b9-4d91-acf8-2f19be972958,hepsiburada,hb_details_202512030147.csv
"msi cyborg 17 b13wfkg-092xtr intel core i7 13620h 32gb 1tb ssd rtx5060 freedos 17.3"" fhd 144hz taşınabilir bilgisayar",msi,oyun,siyah,2 - 4 kg,intel core i7,13620h,13.0,,4.9,32.0,ddr5,nvidia rtx 5060,dedicated_high_end,8.0,gddr7,1024.0,,17.3,1920x1080,fhd,144.0,,freedos,2025-12-03 00:32:36,68875.0,https://www.hepsiburada.com/msi-cyborg-17-b13wfkg-092xtr-intel-core-i7-13620h-8gb-1tb-ssd-rtx5060-freedos-17-3-fhd-tasinabilir-bilgisayar-pm-hbc0000ai5t9b,hepsiburada,hb_details_202512030147.csv
"lenovo ideapad slim 3 intel core i7 13620h 16gb 512gb ssd freedos 15.3"" wuxga taşınabilir bilgisayar 83k10060tr",lenovo,,mavi,2 kg ve altı,intel core i7,intel core i7,13.0,,4.9,16.0,ddr5,integrated,integrated,,shared,512.0,,15.3,1920x1200,wuxga,,ips,freedos,2025-12-03 00:32:38,28499.05,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i7-13620h-16gb-512gb-ssd-freedos-15-3-wuxga-tasinabilir-bilgisayar-83k10060tr-pm-hbc00008o3253,hepsiburada,hb_details_202512030147.csv
"asus tuf gaming fx607vu-rl017 intel core 5 210h 16gb 512gb ssd rtx4050 freedos 16"" taşınabilir bilgisayar",asus,,siyah,2 - 4 kg,intel core i5,210h,,,4.8,16.0,ddr5,nvidia rtx 4050,dedicated,6.0,gddr6,512.0,,16.0,1920x1200,,,ips,freedos,2025-12-03 00:32:40,43499.0,https://www.hepsiburada.com/asus-tuf-gaming-fx607vu-rl017-intel-core-5-210h-16gb-512gb-ssd-rtx4050-freedos-16-tasinabilir-bilgisayar-pm-hbc000086t6th,hepsiburada,hb_details_202512030147.csv
"monster tulpar t7 v26.2.2 intel core i7 13620h 32 gb ram 1 tb ssd 8 gb rtx 5060 freedos 17,3"" fhd 144 hz oyun bilgisayarı",monster,oyun,siyah,2 - 4 kg,intel core i7,intel core i7,13.0,,4.9,32.0,ddr5,nvidia rtx 5060,integrated,8.0,gddr7,1024.0,,17.3,1920x1080,fhd,144.0,,freedos,2025-12-03 00:32:44,69799.0,https://www.hepsiburada.com/monster-tulpar-t7-v26-2-2-intel-core-i7-13620h-32-gb-ram-1-tb-ssd-8-gb-rtx-5060-freedos-17-3-fhd-144-hz-oyun-bilgisayari-p-hbcv00008s4ick,hepsiburada,hb_details_202512030147.csv
"asus vivobook go 15 e1504fa-nj1759 amd ryzen 5 7520u 8gb 512gb ssd freedos 15.6"" taşınabilir bilgisayar",asus,ev-okul,gümüş,2 kg ve altı,amd ryzen 5,ryzen 5,,,4.3,8.0,ddr4,amd integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,60.0,,freedos,2025-12-03 00:32:46,17100.0,https://www.hepsiburada.com/asus-vivobook-go-15-e1504fa-nj1759-amd-ryzen-5-7520u-8gb-512gb-ssd-freedos-15-6-tasinabilir-bilgisayar-pm-hbc0000a75uu2,hepsiburada,hb_details_202512030147.csv
lenovo ideapad slim 3 16irh10 intel core i5 13420h 16gb 1tb ssd freedos 16” wuxga 83k20077tr,lenovo,,gri,2 kg ve altı,intel core i5,13420h,13.0,8.0,4.6,16.0,ddr5,intel integrated,integrated,0.0,shared,1024.0,,16.0,1920x1200,wuxga,60.0,ips,freedos,2025-12-03 00:32:48,26499.0,https://www.hepsiburada.com/lenovo-ideapad-slim-3-16irh10-intel-core-i5-13420h-16gb-1tb-ssd-freedos-16-wuxga-83k20077tr-pm-hbc0000a10zq1,hepsiburada,hb_details_202512030147.csv
"lenovo ideapad slim 3 amd ryzen 5 5625u 16gb 512gb ssd freedos 15.6"" fhd taşınabilir bilgisayar 82xm00pwtx",lenovo,ev-okul,gri,2 kg ve altı,amd ryzen 5,5625u,,,4.3,16.0,ddr4,integrated,integrated,,shared,512.0,,15.6,1920x1080,fhd,,tn,freedos,2025-12-03 00:32:50,18599.0,https://www.hepsiburada.com/lenovo-ideapad-slim-3-amd-ryzen-5-5625u-16gb-512gb-ssd-freedos-tasinabilir-bilgisayar-15-6-fhd-tasinabilir-bilgisayar-82xm00pwtx-pm-hbc00008o18wj,hepsiburada,hb_details_202512030147.csv
"asus tuf gaming f16 fx607vj-rl016 intel core 5 210h 8gb 512gb ssd rtx3050 freedos 16"" taşınabilir bilgisayar",asus,oyun,gri,2 - 4 kg,intel core i5,210h,14.0,,4.8,8.0,ddr4,nvidia rtx 3050,dedicated,6.0,gddr6,512.0,,16.0,1920x1200,wuxga,144.0,,freedos,2025-12-03 00:32:53,32995.0,https://www.hepsiburada.com/asus-tuf-gaming-f16-fx607vj-rl016-intel-core-5-210h-8gb-512gb-ssd-rtx3050-freedos-16-tasinabilir-bilgisayar-pm-hbc0000abehfc,hepsiburada,hb_details_202512030147.csv
"dell vostro 3530 n3404pvnb3530u11 i5-1334u 32gb 1tbssd 15.6"" fhd windows 11 pro taşınabilir bilgisayar-cnt012",dell,,gri,2 kg ve altı,intel core i5,1334u,13.0,,4.6,32.0,ddr4,intel integrated,integrated,0.0,shared,1024.0,,15.6,1920x1080,fhd,,wva,windows pro,2025-12-03 00:32:55,39190.08,https://adservice.hepsiburada.com/event/api/v1/track?event=cgxnbzhvquppvwjswktnsisyy3rraglwv3j3qvm3cnzqwmtnnzbzzexwz0fyze5kougxl0jhafn6cvneujfss3hql2pmuzcrb0twdhjnctlzcc9xcvjsqxiradb2mitwmkvwcvqxwtn0t29vbgfsvuy3yxdztnllawnzznjnkzf3dhbrskllzlh4cmxdseovm3pfnelrm0pcrueyawxpu3nfyklwaldwa3vcegnxa1lzk2xqwegztm1lbdvvzgzmujfwymluzmhwk2n0wkrpcxlkk2zmm1lyrnvwrlbivtu4d2zzatcxbzc1dzdrmvhjwlbnouxck0plclverw5hwvi0vln2sw9hbe9tqwfnvxq2bjh0anl6rfnibjfjslhcdhovy3rnaklqzud0qll3axg0wtc2nel4mwhsu1n4cki3ogevwgr4bw5fm1mweflruw9hnssyrghrzlnls2lrwdbud08woehengploc81t3dmrmoyofhxqnu3tmfjofzmt3dzowpudnlyudjytupcvgfzywxheldrvwltulzvslhktjvkn2zrl3ptd3vtsvf1tun1sdzvb2vjs2zjm2t4mwnrswndv29mdfbavzdmbzv6amhrnmlmuupku21ny2poqznuchnuzferduvmuunwuzb3y0hiazdlz3v1owxsefhll3bftzzprehquw5svuzunw9vyzg3r2xltuphzvdwvuxzohjssdn1&redirect=https%3a%2f%2fwww.hepsiburada.com%2fdell-vostro-3530-n3404pvnb3530u11-i5-1334u-32gb-1tbssd-15-6-fhd-windows-11-pro-tasinabilir-bilgisayar-cnt012-p-hbcv000077k4bu%3fmagaza%3dteknoraks&eventname=sp-click&platform=desktop&anonymousid=ba22e137-10b9-4d91-acf8-2f19be972958,hepsiburada,hb_details_202512030147.csv
"lenovo loq intel core i5 12600hx 24gb 512gb ssd rtx4050 freedos 15.6"" ips 144hz taşınabilir bilgisayar 83gs00p6tr",lenovo,oyun,gri,2 - 4 kg,intel core i5,12600hx,12.0,,4.6,24.0,ddr5,nvidia rtx 4050,dedicated,6.0,gddr5,512.0,,15.6,1920x1080,fhd,144.0,ips,freedos,2025-12-03 00:32:59,39999.0,https://www.hepsiburada.com/lenovo-loq-intel-core-i5-12600hx-24gb-512gb-ssd-rtx4050-freedos-15-6-ips-144hz-tasinabilir-bilgisayar-83gs00p6tr-pm-hbc000089c0hi,hepsiburada,hb_details_202512030147.csv
"msi modern 15 f13mg-869xtr intel core i5 1334u 16gb 512gb ssd freedos 15.6"" fhd taşınabilir bilgisayar",msi,ofis-is,gri,2 kg ve altı,intel core i5,1334u,13.0,,4.6,16.0,ddr4,intel integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,60.0,,freedos,2025-12-03 00:33:01,22499.0,https://www.hepsiburada.com/msi-modern-15-f13mg-869xtr-intel-core-i5-1334u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-hbc0000ahx845,hepsiburada,hb_details_202512030147.csv
"dell vostro 3530 n1601pvnb3530u02 i7-1355u 16gb 512ssd 15.6"" fullhd freefreedso taşınabilir bilgisayar taşınabilir bilgisayar-cnt003",dell,ofis-is,siyah,2 kg ve altı,intel core i7,1355u,13.0,,5.0,16.0,ddr4,intel integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,120.0,wva,freedos,2025-12-03 00:33:05,31666.31,https://adservice.hepsiburada.com/event/api/v1/track?event=k094zuxtwk1xtdkzbff2utrsnwzqdvpabmzgqug3rmxxdfjeatd3sjlnemfqvfbstw1jeer4ehryuuvxnulmwu5vk1vwofpnbxa0wghur0jyr3h0curmeu13uvfhsmtasehinwliu0j4nwviywm3z3i5sefxc0w5uuheulvyavivq0hdqxfor0zluxq2swz5rlfynktxtlbydi95qnv2qwkyzlfotefautlymgj6be5jcelkeghqwmnuvlfnqtdndgqws1qxektfwfpvq1bsv0pmz1vtzjhjv3nxvmdyywmzwdltduthbvnzd0jztmvkchlmnxlguwlcl2zhsunwqxaxuhi5rkxmqtcwvit6ynzgqmlgrnvecnzvzxrxni95thnbu3njadzrb2jrafk5awu3ntnxcgxdvut3mljymhvgrm9qugphwwdlvjjerhbuagfrcvjftlncufbhcm0rugrhyu9ln0d0uhywvhjuv1hodzzra3frwmxrzg1zwgf3n0qrsmrpmxbxwnh5nddzmffjquq5wwdsbldyqnnewdrimjezctj3n3dpahjus2n0cmtsmmpxdlpbovlzy1g1nllmzkltwjuxznncdlhom1pedlptu0pnz3nycdnhtep5c2tvvdlwy2jdn01ft0fprhu4metly0k2rmkxuedha2rgwmxauk1ztghbmnz6qurieva5a2pvb3ptujnyumxqritontncagxs&redirect=https%3a%2f%2fwww.hepsiburada.com%2fdell-vostro-3530-n1601pvnb3530u02-i7-1355u-16gb-512ssd-15-6-fullhd-freefreedso-tasinabilir-bilgisayar-tasinabilir-bilgisayar-cnt003-p-hbcv000061a7sl%3fmagaza%3dteknoraks&eventname=sp-click&platform=desktop&anonymousid=ba22e137-10b9-4d91-acf8-2f19be972958,hepsiburada,hb_details_202512030147.csv
"huawei matebook d14 2024 intel core i5 12450h 8gb 512gb ssd windows 11 home 14"" ips taşınabilir bilgisayar",huawei,,gri,1 - 2 kg,intel core i5,intel core i5,12.0,,4.4,8.0,,integrated,integrated,0.0,shared,512.0,,14.0,1920x1080,,,ips,windows home,2025-12-03 00:33:07,21999.0,https://www.hepsiburada.com/huawei-matebook-d14-2024-intel-core-i5-12450h-8gb-512gb-ssd-windows-11-home-14-ips-tasinabilir-bilgisayar-pm-hbc00005wjbqu,hepsiburada,hb_details_202512030147.csv
"msi cyborg 17 b13wfkg-091xtr intel core i7 13620h 16gb 1tb ssd rtx5060 freedos 17.3"" fhd 144hz taşınabilir bilgisayar",msi,oyun,siyah,2 - 4 kg,intel core i7,13620h,13.0,,4.9,16.0,ddr5,nvidia rtx 5060,dedicated_high_end,8.0,gddr7,1024.0,,17.3,1920x1080,fhd,144.0,,freedos,2025-12-03 00:33:09,62999.0,https://www.hepsiburada.com/msi-cyborg-17-b13wfkg-091xtr-intel-core-i7-13620h-16gb-1tb-ssd-rtx5060-freedos-17-3-fhd-144hz-tasinabilir-bilgisayar-pm-hbc0000ahitkf,hepsiburada,hb_details_202512030147.csv
"hp victus 16-s0064nt ryzen 5 7640hs 16g 512gb ssd 6gb 4050 freedos 144hz 16.1"" fhd taşınabilir bilgisayar 8q4k4ea",hp,oyun,mavi,2 - 4 kg,amd ryzen 5,7640hs,7.0,6.0,5.0,16.0,ddr5,nvidia rtx 4050,dedicated,6.0,gddr6,512.0,,16.1,1920x1080,fhd,144.0,,freedos,2025-12-03 00:33:11,35999.0,https://www.hepsiburada.com/hp-victus-16-s0064nt-ryzen-5-7640hs-16g-512gb-ssd-6gb-4050-freedos-144hz-16-1-fhd-tasinabilir-bilgisayar-8q4k4ea-pm-hbc00007mpjmu,hepsiburada,hb_details_202512030147.csv
"msi katana 15 hx b14wgk-068xtr intel core i7 14650hx 16gb 1tb ssd rtx5070 freedos 15.6"" qhd 165hz taşınabilir bilgisayar",msi,oyun,siyah,2 - 4 kg,intel core i7,14650hx,14.0,,5.2,16.0,ddr5,nvidia rtx 5070,dedicated_high_end,8.0,gddr7,1024.0,,15.6,2560x1440,qhd,165.0,,freedos,2025-12-03 00:33:15,69423.0,https://www.hepsiburada.com/msi-katana-15-hx-b14wgk-068xtr-intel-core-i7-14650hx-16gb-1tb-ssd-rtx5070-freedos-15-6-qhd-165hz-tasinabilir-bilgisayar-pm-hbc00008raesl,hepsiburada,hb_details_202512030147.csv
"erazer defender 17 p1 md62757 intel core i7 13620h 16gb 1tb ssd rtx5060 freedos 17.3"" taşınabilir bilgisayar",erazer,,siyah,2 - 4 kg,intel core i7,13620h,13.0,,4.9,16.0,ddr5,nvidia rtx 5060,dedicated,8.0,gddr7,1024.0,,17.3,1920x1080,,,,freedos,2025-12-03 00:33:17,51999.0,https://www.hepsiburada.com/erazer-defender-17-p1-md62757-intel-core-i7-13620h-16gb-1tb-ssd-rtx5060-freedos-17-3-tasinabilir-bilgisayar-pm-hbc0000akz9k9,hepsiburada,hb_details_202512030147.csv
"monster abra a7 v16.2.2 intel core i7 13700hx 32 gb ram 1 tb ssd 8 gb rtx 5050 freedos 17,3"" fhd 144 hz taşınabilir bilgisayar",monster,oyun,siyah,2 - 4 kg,intel core i7,13700hx,13.0,16.0,5.0,32.0,ddr5,nvidia rtx 5050,integrated,8.0,gddr7,1024.0,,17.3,1920x1080,fhd,144.0,ips,freedos,2025-12-03 00:33:23,75499.0,https://www.hepsiburada.com/monster-abra-a7-v16-2-2-intel-core-i7-13700hx-32-gb-ram-1-tb-ssd-8-gb-rtx-5050-freedos-17-3-fhd-144-hz-tasinabilir-bilgisayar-p-hbcv00009othaq,hepsiburada,hb_details_202512030147.csv
"lenovo ideapad slim 3 intel celeron n100 4gb 128gb ssd windows 11 home 15.6"" taşınabilir bilgisayar 82xb009gtx",lenovo,,gri,2 kg ve altı,intel n-series,,,,3.4,4.0,,intel integrated,integrated,0.0,shared,128.0,,15.6,1920x1080,,,tn,windows home,2025-12-03 00:33:46,8899.0,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-celeron-n100-4gb-128gb-ssd-windows-11-home-15-6-tasinabilir-bilgisayar-82xb009htx-pm-hbc00007gps68,hepsiburada,hb_details_202512030147.csv
"hp victus gaming 15-fa2023nt intel core i5 14450hx 16gb 512gb ssd rtx4050 freedos 15.6"" taşınabilir bilgisayar by2k1ea",hp,,siyah,2 - 4 kg,intel core i5,14450hx,14.0,,4.8,16.0,ddr5,nvidia rtx 4050,dedicated_high_end,6.0,gddr6,512.0,,15.6,1920x1080,,,led,freedos,2025-12-03 00:34:12,37154.2,https://www.hepsiburada.com/hp-victus-gaming-15-fa2023nt-intel-core-i5-14450hx-16gb-512gb-ssd-rtx4050-freedos-15-6-tasinabilir-bilgisayar-by2k1ea-pm-hbc0000ad4i3y,hepsiburada,hb_details_202512030147.csv
lenovo loq 15irx9 intel core i7 13650hx 24gb 1tb ssdrtx 3050 6gb (95w) 15.6'' 144hz fhd ips panel freedos taşınabilir bilgisayar 83dv011ctrn1,lenovo,oyun,gri,2 - 4 kg,intel core i7,13650hx,13.0,,4.9,24.0,ddr5,nvidia rtx 3050,dedicated,6.0,gddr6,,,15.6,1920x1080,fhd,144.0,ips,freedos,2025-12-03 00:34:16,41999.0,https://www.hepsiburada.com/lenovo-loq-15irx9-intel-core-i7-13650hx-24gb-1tb-ssdrtx-3050-6gb-95w-15-6-144hz-fhd-ips-panel-freedos-tasinabilir-bilgisayar-83dv011ctrn1-p-hbcv00008cf7bp,hepsiburada,hb_details_202512030147.csv
"asus tuf gaming a15 fa507nur-lp035 amd ryzen 7 7435hs 16 gb 512 gb ssd rtx 4050-140watt 144 hz freedos 15.6"" fhd taşınabilir bilgisayar",asus,,gri,2 - 4 kg,amd ryzen 7,7435hs,7.0,,4.5,16.0,ddr5,nvidia rtx 4050,dedicated_high_end,6.0,gddr6,512.0,,15.6,1920x1080,fhd,144.0,led,freedos,2025-12-03 00:34:18,44599.0,https://www.hepsiburada.com/asus-tuf-gaming-a15-fa507nur-lp035-amd-ryzen-7-7435hs-16-gb-512-gb-ssd-rtx-4050-140watt-144-hz-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-hbc00006i40dl,hepsiburada,hb_details_202512030147.csv
"hometech alfa 620c intel celeron n4020 4 gb 128 gb ssd windows 11 14.1"" tn taşınabilir bilgisayar",hometech,,gümüş,,intel celeron,n4020,4.0,,2.8,4.0,,intel integrated,integrated,,,128.0,,14.1,1366x768,,,tn,windows home,2025-12-03 00:34:20,6729.0,https://www.hepsiburada.com/hometech-alfa-620c-intel-celeron-n4020-4-gb-128-gb-ssd-windows-11-14-1-tn-tasinabilir-bilgisayar-pm-hbc00003wdikf,hepsiburada,hb_details_202512030147.csv
"msi pulse a17 ai+ c3xwgkg-020tr amd ryzen 9 ai hx 370 32gb 2tb ssd rtx5070 windows 11 home taşınabilir bilgisayar 17"" qhd+ 240hz taşınabilir bilgisayar",msi,oyun,siyah,2 - 4 kg,amd ryzen ai 9,370,,,5.1,32.0,ddr5,nvidia rtx 5070,dedicated_high_end,8.0,gddr7,2048.0,,17.0,2560x1600,qhd_plus,240.0,,windows home,2025-12-03 00:34:23,126999.0,https://www.hepsiburada.com/msi-pulse-a17-ai-c3xwgkg-020tr-amd-ryzen-9-ai-hx-370-32gb-2tb-ssd-rtx5070-windows-11-home-tasinabilir-bilgisayar-17-qhd-240hz-tasinabilir-bilgisayar-pm-hbc00009dkmul,hepsiburada,hb_details_202512030147.csv
"hp victus 15-fb3006nt amd ryzen 9 8945hs 16gb 1tb ssd rtx4060 freedos 15.6"" taşınabilir bilgisayar b82wcea",hp,,siyah,2 - 4 kg,amd ryzen 9,8945hs,,,5.2,16.0,ddr5,nvidia rtx 4060,dedicated_high_end,8.0,gddr6,1024.0,1024.0,15.6,1920x1080,,,ips,freedos,2025-12-03 00:34:25,45599.0,https://www.hepsiburada.com/hp-victus-15-fb3006nt-amd-ryzen-9-8945hs-16gb-1tb-ssd-rtx4060-freedos-15-6-tasinabilir-bilgisayar-b82wcea-pm-hbc000086c60k,hepsiburada,hb_details_202512030147.csv
