title,brand,intended_use,color,weight,cpu_family,cpu_model,cpu_generation,cpu_cores,cpu_max_ghz,ram_gb,ram_type,gpu_model,gpu_type,gpu_vram_gb,gpu_vram_type,ssd_gb,hdd_gb,screen_size_inch,resolution,display_standard,refresh_rate_hz,panel_type,operating_system,scraped_at,price_try,url,platform,source_file
"nirvana x600 ryzen5-7430u 16gb 1tb ssd 15.6"" freedos laptop x600.7430-bf00x-g-f",casper,ofis-is,gri,2 kg ve altı,amd ryzen 5,7430u,7.0,6.0,4.3,16.0,ddr4,amd integrated,integrated,0.0,shared,1024.0,,15.6,1920x1080,fhd,60.0,ips,freedos,2025-12-03 01:52:43,22849.0,https://www.trendyol.com/casper/nirvana-x600-ryzen5-7430u-16gb-1tb-ssd-15-6-freedos-laptop-x600-7430-bf00x-g-f-p-893543896?boutiqueid=681310&merchantid=968,trendyol,ty_details_202512030228.csv
ideapad 5 slim case 2 in 1 intel core i7 13620h 16 gb 1 tb ssd freedos 14 inç oled 83kx003ttr,lenovo,ofis-is,mavi,2 kg ve altı,intel core i7,13620h,13.0,10.0,4.6,16.0,lpddr5x,intel integrated,integrated,0.0,shared,1024.0,,14.0,1920x1200,wuxga,60.0,oled,freedos,2025-12-03 01:52:44,54999.0,https://www.trendyol.com/lenovo/ideapad-5-slim-case-2-in-1-intel-core-i7-13620h-16-gb-1-tb-ssd-freedos-14-inc-oled-83kx003ttr-p-875686918?boutiqueid=61&merchantid=147192,trendyol,ty_details_202512030228.csv
"vivobook 15 i5-13420h 16gb ram 512gb ssd 15.6"" windows 11 x1502va",asus,ofis-is,gümüş,2 - 4 kg,intel core i5,1355u,13.0,,4.6,16.0,ddr4,integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,,ips,windows home,2025-12-03 01:52:45,26999.0,https://www.trendyol.com/asus/vivobook-15-i5-13420h-16gb-ram-512gb-ssd-15-6-windows-11-x1502va-p-899592477?boutiqueid=61&merchantid=880551,trendyol,ty_details_202512030228.csv
"excalibur g870 i7-13620h 32gb 1tb 115w rtx5050 165hz 15.6"" freedos gaming laptop g870.1362-df50x-c",casper,oyun,,2 - 4 kg,intel core i7,13620h,13.0,10.0,4.9,32.0,ddr5,nvidia rtx 5050,dedicated,8.0,gddr7,1024.0,,15.6,1920x1080,fhd,165.0,ips,freedos,2025-12-03 01:52:46,49959.0,https://www.trendyol.com/casper/excalibur-g870-i7-13620h-32gb-1tb-115w-rtx5050-165hz-15-6-freedos-gaming-laptop-g870-1362-df50x-c-p-960884261?boutiqueid=61&merchantid=1095219,trendyol,ty_details_202512030228.csv
"victus amd ryzen 5-8645hs 16gb 512gb rtx4060 8gb freedos 15.6"" fhd ips 144hz gaming laptop a05nhea",hp,oyun,,2 - 4 kg,amd ryzen 5,8645hs,,6.0,,16.0,ddr5,nvidia rtx 4060,dedicated,8.0,gddr6,512.0,,15.6,1920x1080,fhd,144.0,ips,freedos,2025-12-03 01:52:47,38989.0,https://www.trendyol.com/hp/victus-amd-ryzen-5-8645hs-16gb-512gb-rtx4060-8gb-freedos-15-6-fhd-ips-144hz-gaming-laptop-a05nhea-p-929697231?boutiqueid=61&merchantid=141868,trendyol,ty_details_202512030228.csv
"slayer x5t-5050 c2 intel core i5 13500hx 32gb ram 1tb ssd rtx5050 16"" wuxga 165hz ips fre",game garaj,oyun,gri,2 - 4 kg,intel core i5,13500hx,13.0,14.0,4.7,32.0,ddr5,nvidia rtx 5050,dedicated,8.0,gddr7,1024.0,,16.0,1920x1200,wuxga,165.0,ips,freedos,2025-12-03 01:52:48,49399.0,https://www.trendyol.com/game-garaj/slayer-x5t-5050-c2-intel-core-i5-13500hx-32gb-ram-1tb-ssd-rtx5050-16-wuxga-165hz-ips-fre-p-967146705?boutiqueid=61&merchantid=124551,trendyol,ty_details_202512030228.csv
loq 15iax9 83gs00g9tr i5-12450hx 16gb 512gb ssd 4gb rtx3050 144hz 15.6 freedos,lenovo,oyun,gri,2 - 4 kg,intel core i5,12450h,12.0,8.0,4.4,16.0,ddr5,nvidia rtx 3050,dedicated,6.0,gddr6,512.0,,15.6,1920x1080,fhd,144.0,ips,freedos,2025-12-03 01:52:49,37999.0,https://www.trendyol.com/lenovo/loq-15iax9-83gs00g9tr-i5-12450hx-16gb-512gb-ssd-4gb-rtx3050-144hz-15-6-freedos-p-877717865?boutiqueid=61&merchantid=125175,trendyol,ty_details_202512030228.csv
"v15 g3 i5-1235u 16gb 512gb ssd w11pro 15.6"" fhd notebook 82tt00a5tx0343+mouse",lenovo,ofis-is,siyah,2 kg ve altı,intel core i5,1235u,12.0,10.0,,16.0,ddr4,intel integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,60.0,,windows home,2025-12-03 01:52:51,28999.0,https://www.trendyol.com/lenovo/v15-g3-i5-1235u-16gb-512gb-ssd-w11pro-15-6-fhd-notebook-82tt00a5tx0343-mouse-p-743771641?boutiqueid=61&merchantid=125175,trendyol,ty_details_202512030228.csv
"ideapad 5 intel core i3 1115g4 4 gb 256 gb ssd windows 11 home 14"" fhd taşınabilir bilgisayar",lenovo,ofis-is,renkli,2 kg ve altı,intel core i3,1115g4,10.0,,,4.0,ddr4,intel integrated,integrated,0.0,,256.0,,14.0,1920x1080,fhd,,,windows home,2025-12-03 01:52:52,45483.0,https://www.trendyol.com/lenovo/ideapad-5-intel-core-i3-1115g4-4-gb-256-gb-ssd-windows-11-home-14-fhd-tasinabilir-bilgisayar-p-260105289?boutiqueid=61&merchantid=157421,trendyol,ty_details_202512030228.csv
"nitro v 15 intel i5 13420h 16gb 512gb ssd rtx 4050-6gb 60w freedos 15.6"" ips nh.qnbey.001-1",acer,oyun,siyah,2 - 4 kg,intel core i5,13420h,13.0,8.0,4.6,16.0,ddr5,nvidia rtx 4050,dedicated,6.0,gddr6,512.0,,15.6,1920x1080,fhd,144.0,ips,freedos,2025-12-03 01:52:54,36800.0,https://www.trendyol.com/acer/nitro-v-15-intel-i5-13420h-16gb-512gb-ssd-rtx-4050-6gb-60w-freedos-15-6-ips-nh-qnbey-001-1-p-925270261?boutiqueid=61&merchantid=141868,trendyol,ty_details_202512030228.csv
