Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı,Ram (Sistem Belleği),Ram Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Harddisk Kapasitesi,Ekran Boyutu,Max Ekran Çözünürlüğü,Ekran Özelliği,Ekran Yenileme Hızı,Ekran Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Dell Vostro 3530 N3404PVNB3530U08 I5-1334U 16GB 512SSD 15.6"" Fhd Windows 11 Pro Taşınabilir Bilgisayar-CNT009",Dell,,Koyu Gri,2 kg ve Altı,Intel Core i5,1334U,13.Nesil,,"4,6 GHz",16 GB,DDR4,Intel Iris Xe Graphics,Dahili Ekran Kartı,Paylaşımlı,Onboard,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,,WVA,Windows 11 Pro,2025-12-03 00:32:27,"26.711,61 TL",https://adservice.hepsiburada.com/event/api/v1/track?event=NHNTN1FiYXlFaEV1MnhqNzFvNnJ5Z2RwV094VDhSeDFlaXZIYVg5dlBuTHJ2RG5iZjhRSzRKY0tKTFduRVFaQXIvLzJnMS9Ia2luTTFHdHFHZC95aHhYUksyTXdJVWh1dm1uNDJ5M0tXbXhGWDc4QklUQm1WTWMrZ2NMWnpuQ0lTTzNpOUN4SVl4S0c0QVNSbGFReDFpVHhaQmpRS21LclRVODN5RkdBRTlZNU5mNUxKdWFkSG5KbzJHVVh5SllUYmw1Wis3Q1FLUld6UnduQUdXUTdLaVVWMnRRelUyaEY0WjhseGRXdi93YjVnaDhNQUM3Ri80bDZWTUZaYnk3eEM1dldwV2MzTWdqekhCQ3JvYUFnTFh0YnNXOTk1UVkzUkJzME83MFFHUUptcGx2VS9XNzkvOXZKV1JObmgycHNMdzVpYU9manBoWklZM0UvdUc4MUp0S2I1RmtKMWw0czhOMmJuT0dNcTdURzNacWRsTUNBS2tRUkRXdDQvakthS1FXT1pvVi9xUTVsc2dpYWJDSVVWOXplVzBHM1JSWWxmZ0ZrMitUcHZIcHBTa1NGc0tYMmhDc01JbTg2MXptcG1aMW12cmdKRkdmWEJ6eHMvbzN3QmFJNGVxbzJMREFyQ3JLZ2pmMlE5MlRjQWpueWJ4Y2RJbWxwRFpkdk9tMzQ0UmNBWW4xTU1sOXRLeEExZEp5QkZka1RneHpvYkFmNmZsaHFXc2t4&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fdell-vostro-3530-n3404pvnb3530u08-i5-1334u-16gb-512ssd-15-6-fhd-windows-11-pro-tasinabilir-bilgisayar-cnt009-p-HBCV000077K5H2%3Fmagaza%3Dteknoraks&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"Lenovo IdeaPad Slim 3 Intel Core i5 13420H 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 83EM00C7TR",Lenovo,Ofis ve İş,"Gri, Buz Mavi",2 kg ve Altı,Intel Core i5,13420H,13.Nesil,8,"4,6 GHz",,LPDDR5,Onboard,Onboard,Paylaşımlı,Onboard,,Yok,"15,6 inç",1920 x 1080,Full HD,,IPS,Yok (Free Dos),2025-12-03 00:32:29,19.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-83em00c7tr-pm-HBC00009PPGDY
"Apple MacBook Air M4 16GB 256GB SSD macOS 15"" Taşınabilir Bilgisayar Gece Yarısı MW1L3TU/A",Apple,,Koyu Gri,2 kg ve Altı,Apple M4,Apple M4,Apple M4,,Yok,,Belirtilmemiş,Onboard,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,15 inç,2880 x 1864,,,Liquid Retina Ekran,macOS,2025-12-03 00:32:32,60.099 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=U0I0ZTFzcWxJa05yRjlQcVMrc2NGNEhaNkFUaTdvZXcvS0dpaXVSaVpKZ1liRFJOL3E1YnN5enQwYm9yNWtGcEtUOW9pb2xZQXBmMXBUWTIzeWI1cWFRL2pRNloxc0lDUVlVQTROMkh6TjBpaFNJczJ0Z2ZDajloMVBVSk1QVU50aVRHRjRBR09EVzBMakEvdkpxMXZ4SHNOUVhyaG5uWkxoTmVteGV2MjdYYUNqRFNvVjByYWZHNFozMG5JQ2kzKzdNTTJHK0xja010SHhtZm03WEhFWm4vUjRMUUkxY3c2OWFucG5xTlp5OTJPUmFoeWw1WkJIUUNKNUxrR2thWmRQdFdYbTZ6eTJqR0JReFR0Qkw4WG9YS0JMVmwrM3hxSktUQjA1azYvWHo2SW9RdlJIS1hWZ2xHejk4dWIwczRKMGdMOXNOeEdRczlTSktJZnVtLzFjLzAxQlpmZDArL0hFcDFLK3RaVGJSSy9xeERsSHVoSTJUemYwZmVSclEwTVhjdkhiZVFFaENzZ1A4aGFtYU9EN2dSNXVyNXpXWHZOS0JOR3dHWVJNazFXUWlqYlRvMG9rTWRnYWFCY3pRVklGakRNVFFlQzYxa0YvRklKRlE0cGFYTDNyRTFkUWtDbGtHR2pRTENZeWF0U295d3dUaXFadDFHdW5kWXVZTjZhamlRZTBON1pZK0hibEg2ZDZrRHhZbTFnQ3VzOE5ySjhWdHh6bElm&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fapple-macbook-air-m4-16gb-256gb-ssd-macos-15-tasinabilir-bilgisayar-gece-yarisi-mw1l3tu-a-p-HBCV00008749XP%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"HP Victus Gaming 15-FA2012NT Intel Core i7 13620H 16GB 1TB SSD RTX5060 Freedos 15.6"" Taşınabilir Bilgisayar C21SFEA",HP,,Siyah,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,"15,6 inç",1920 x 1080,,,LED,FreeDos,2025-12-03 00:32:34,52.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=T3Nvd3d2dWFJZVk2SzVuNGNJZm9oalFLZ2t0SHBRaWZuc1JUWXhjUjMwamRNc2tUOVB0eVdUYlV5T1BWdWZKL0xQdTd3KzI3ZHJwVkxXb29WYWpGR0FpVlFOaEhZVlBEeXJTS2swNzBEN0JqMStmWFB3SWthUGZKRFJ3amdxWWhzTkh0UTJLNmxId2w2M0h6YmEzRElHb29ycWd3MnBaQzZEWUgxMU55NEZ3bCtibU00U0lTSkRxNW5UMmRQN1A3alVRNk9rUGk2cE1md1NpdXNYc1Q5NEU3cWlKMVVhMGFxUExvT3paaUxIa2tIRE83cFFKUGRWQ1JmNVJoMUJuOHRVUFZHdStOZk5OTXRod3VPODllOEpxSTc3bE9oc0dSMi9HdTFKQjk5LzkvUTh5Mlh0dGtFdUg4d1lOZ0VYQkFURFhqUUhINFQ3Z1ZRTDJqVTRsdDM1NzhJTzZwVjhnNk9lWXFzZmxCdC9RSnpXem1LTkVzcy84cDR0OEJLLzNrWEN1amM5VVVnbmkvZE5XRCs3RU5xRFphcmg4cVVrWDBNK3lWOGJwa2NQU2NFWWU3RlU0YytXZTYxU0R1N3ZRQmhqSXo3SC9yeDVKNVdmUTJQN1p3YXE3allmNzZNSDloVitta0xvL1lVVmNkWW9qV1l1TDZMWEtPOTV1MEh4bUNtcTQxYUdBYTFhczlYZmYxeUxseFRhNUhCTWltdVVCa21INzFmQ1k1&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-victus-gaming-15-fa2012nt-intel-core-i7-13620h-16gb-1tb-ssd-rtx5060-freedos-15-6-tasinabilir-bilgisayar-c21sfea-p-HBCV0000AD47PV%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"MSI CYBORG 17 B13WFKG-092XTR Intel Core i7 13620H 32GB 1TB SSD RTX5060 Freedos 17.3"" FHD 144Hz Taşınabilir Bilgisayar",MSI,Oyun ve Eğlence,"Siyah, Siyah",2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,"17,3 inç",1920 x 1080,Full HD,144 Hz,FHD,Yok (Free Dos),2025-12-03 00:32:36,68.875 TL,https://www.hepsiburada.com/msi-cyborg-17-b13wfkg-092xtr-intel-core-i7-13620h-8gb-1tb-ssd-rtx5060-freedos-17-3-fhd-tasinabilir-bilgisayar-pm-HBC0000AI5T9B
"Lenovo Ideapad Slim 3 Intel Core i7 13620H 16GB 512GB SSD Freedos 15.3"" WUXGA Taşınabilir Bilgisayar 83K10060TR",Lenovo,,Mavi,2 kg ve Altı,Intel Core i7,Intel Core i7,13.Nesil,,"4,9 GHz",16 GB,DDR5,Onboard,Dahili Ekran Kartı,Belirtilmemiş,Onboard,512 GB,Yok,"15,3 inç",1920 x 1200,,,IPS,Yok (Free Dos),2025-12-03 00:32:38,"28.499,05 TL",https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i7-13620h-16gb-512gb-ssd-freedos-15-3-wuxga-tasinabilir-bilgisayar-83k10060tr-pm-HBC00008O3253
"Asus TUF Gaming FX607VU-RL017 Intel Core 5 210H 16GB 512GB SSD RTX4050 Freedos 16"" Taşınabilir Bilgisayar",Asus,,Siyah,2 - 4 kg,Intel Core i5,210H,Yok,,"4,8 GHz",16 GB,DDR5,Nvidia GeForce RTX 4050,Harici Ekran Kartı,6 GB,GDDR6,512 GB,Yok,16 inç,1920 x 1200,,,IPS,Yok (Free Dos),2025-12-03 00:32:40,43.499 TL,https://www.hepsiburada.com/asus-tuf-gaming-fx607vu-rl017-intel-core-5-210h-16gb-512gb-ssd-rtx4050-freedos-16-tasinabilir-bilgisayar-pm-HBC000086T6TH
HP Omen 16-WF1020NT I7-14700HX 32GB 1tb 8gb RTX4070 16.1 Freedos 9J1Y9EA Taşınabilir Bilgisayar,HP,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,14700HX,14.Nesil,,"5,5 Ghz",32 GB,DDR5,Nvidia GeForce RTX 4070,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR6,1 TB,Yok,"16,1 inç",1920 x 1080,Full HD,165 Hz,IPS,Yok (Free Dos),2025-12-03 00:32:42,70.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=RUx2RVlkazhwc3I2bjJod3hUQllZTmNKc21EeEY5ZVZaRDdUSmRBOXBDUitQS2NPbjhvUEtMVXFmMUs2QnJjelhkdUpYN2RydzY2QTg1TFFYbUZZdFRSVlBwc08rM0Y4akRhTXNlVXFSWk1nUnBsR0xsWm1HR2w1ZzNtYnJJOGhsVUk1d3pMUkVqTnhxNk9UTUJqNzBVRDB2VTNMRkp4YXZRU0xIUHhSRWpLZXAyMFVrNjFSWDdKMWdIUlJrU3ExNEJqRFN0SWJxbnBOZlJYWEtWcS95bEM4RmVzTjFLWU9KejJ5elRVUmh0U2s1V2ZYY2o3SzFpSFRNVjJGUWxRQVJielNzMFJTT1hGem85VmgxOE1IVEVnRDlSRUZvVkdqU2hPZmxFUXNrMTJXRXE0WDRUTHVqanFuZitISGRZbEJhQjJiNllmOUlzZ0xUNlRlS1FEdU9JaEhwZ2RjY2k5SUdIZWpxQWd5Q3NndU4xcWZrSU5YOHhYVWFCck8xRk41aVNCWGtSS1VKYzlBcE9MZTJWSTNkdDB6MEJEQVYydUhSUHBlUnhRUHhldnRrVVRKUHNSY2RkZkwvTDJkNDE5d1duT0NOTUhDbzd1U2R4VkhOcE5SYUlWSFJ0S3c3c25HdlBWV1NpOUs2V1l1WlJsTXRIVXNjWmdrTTBSaTZTVnh4bGhzT3pjT09SL1c1cHIyaUtkRC9HYXpHREVucG5ZenlFL0N5dk9Z&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-omen-16-wf1020nt-i7-14700hx-32gb-1tb-8gb-rtx4070-16-1-freedos-9j1y9ea-tasinabilir-bilgisayar-p-HBCV00005SO5LG%3Fmagaza%3DTekramarket&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"Monster Tulpar T7 V26.2.2 Intel Core I7 13620H 32 GB Ram 1 Tb SSD 8 GB Rtx 5060 Freedos 17,3"" Fhd 144 Hz Oyun Bilgisayarı",Monster,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,Intel Core i7,13.Nesil,,"4,9 GHz",,DDR5,Nvidia GeForce RTX 5060,Dahili Ekran Kartı,8 GB,GDDR7,,Yok,"17,3 inç",1920 x 1080,Full HD,144 Hz,FHD,Yok (Free Dos),2025-12-03 00:32:44,69.799 TL,https://www.hepsiburada.com/monster-tulpar-t7-v26-2-2-intel-core-i7-13620h-32-gb-ram-1-tb-ssd-8-gb-rtx-5060-freedos-17-3-fhd-144-hz-oyun-bilgisayari-p-HBCV00008S4ICK
"Asus Vivobook Go 15 E1504FA-NJ1759 AMD Ryzen 5 7520U 8GB 512GB SSD Freedos 15.6"" Taşınabilir Bilgisayar",Asus,Ev Kullanıcıları - Öğrenci,Gümüş,2 kg ve Altı,AMD Ryzen 5,Ryzen 5,Ryzen,,"4,3 GHz",,DDR4,AMD Radeon Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,"15,6 inç",1920 x 1080,Full HD,60 Hz,FHD,Yok (Free Dos),2025-12-03 00:32:46,17.100 TL,https://www.hepsiburada.com/asus-vivobook-go-15-e1504fa-nj1759-amd-ryzen-5-7520u-8gb-512gb-ssd-freedos-15-6-tasinabilir-bilgisayar-pm-HBC0000A75UU2
